Index,Start,End,Duration,Epochs,Loss,Accuracy,Val_Loss,Val_Accuracy,Activation,Batch_Size,Dropout,First_Neuron,Hidden_Layers,Last_Activation,Losses,lr,Optimizer,shapes
0,05/28/21-222630,05/28/21-222700,29.94321609,150,0.042995546,0.882751405,0.051871739,0.849218726,elu,13,0.4,16,1,sigmoid,logcosh,3.2,Nadam,brick
1,05/28/21-222700,05/28/21-222720,20.34664488,150,0.026326202,0.928608656,0.056472491,0.84375,relu,21,0.1,16,1,sigmoid,logcosh,3.2,Nadam,brick
2,05/28/21-222721,05/28/21-222811,50.6366744,150,0.045933321,0.85252738,0.052513927,0.846093774,relu,7,0.1,4,1,sigmoid,logcosh,4.1,Nadam,brick
3,05/28/21-222811,05/28/21-222828,16.2304678,150,0.379033715,0.791558087,0.342416823,0.868749976,elu,27,0.2,8,1,sigmoid,binary_crossentropy,2.3,RMSprop,funnel
4,05/28/21-222828,05/28/21-222958,90.57367468,150,0.087833866,0.979155839,0.710488677,0.845312476,relu,4,0,64,1,sigmoid,binary_crossentropy,1.4,Nadam,funnel
5,05/28/21-222959,05/28/21-223028,29.15235925,150,0.033759736,0.902032316,0.048880763,0.86328125,elu,13,0.1,8,2,sigmoid,logcosh,3.2,Adam,funnel
6,05/28/21-223028,05/28/21-223047,19.24117637,150,0.185813054,0.93069309,0.393330693,0.857812524,relu,24,0.3,32,1,sigmoid,binary_crossentropy,0.5,Adam,brick
7,05/28/21-223047,05/28/21-223225,97.42130876,150,0.70337981,0.681604981,0.933553875,0.674218774,relu,4,0.3,64,2,sigmoid,binary_crossentropy,4.1,Nadam,brick
8,05/28/21-223225,05/28/21-223520,174.6493576,150,0.444901437,0.817613363,0.444318354,0.850000024,elu,2,0.3,8,2,sigmoid,binary_crossentropy,2.3,RMSprop,funnel
9,05/28/21-223520,05/28/21-223643,83.63912773,150,0.094141297,0.663887441,0.059770919,0.815625012,relu,4,0.4,4,2,sigmoid,logcosh,0.95,RMSprop,funnel
10,05/28/21-223644,05/28/21-223715,31.60708022,150,0.137702316,0.952058375,0.617242932,0.850000024,relu,13,0.2,64,1,sigmoid,binary_crossentropy,0.95,RMSprop,brick
11,05/28/21-223715,05/28/21-223754,38.69720554,150,0.361664861,0.866076052,0.386674613,0.850000024,elu,10,0.4,16,2,sigmoid,binary_crossentropy,3.2,RMSprop,brick
12,05/28/21-223754,05/28/21-223813,18.25191188,150,0.027726699,0.924439788,0.051638015,0.853124976,relu,21,0.2,16,0,sigmoid,logcosh,4.1,RMSprop,brick
